plan_block,land_category,source_basis
도시1,도시지원시설용지,2019-01-28 시행지침 제2편 제1장 제1조
도시2,도시지원시설용지,2019-01-28 시행지침 제2편 제1장 제1조
도시3,도시지원시설용지,2019-01-28 시행지침 제2편 제1장 제1조
도시4,도시지원시설용지,2019-01-28 시행지침 제2편 제1장 제1조
도시5,도시지원시설용지,2019-01-28 시행지침 제2편 제1장 제1조
주12,주차장용지,2019-01-28 시행지침 제2편 제1장 제1조
주13,주차장용지,2019-01-28 시행지침 제2편 제1장 제1조
주14,주차장용지,2019-01-28 시행지침 제2편 제1장 제1조
주15,주차장용지,2019-01-28 시행지침 제2편 제1장 제1조
주29,주차장용지,2019-01-28 시행지침 제2편 제1장 제1조
주30,주차장용지,2019-01-28 시행지침 제2편 제1장 제1조
위3,위험물저장및처리시설용지,2019-01-28 시행지침 제2편 제1장 제1조
위4,위험물저장및처리시설용지,2019-01-28 시행지침 제2편 제1장 제1조
