region,minutes,population,households,workers,reached_station_nodes
pangyo,0,30021.71934648476,14420.508852907802,64429.86062325505,2
pangyo,5,66854.37557721631,32215.77460195857,93120.67295065089,3
pangyo,10,162537.53608768864,78721.27337969816,167454.8717848558,8
pangyo,15,391888.4075538017,189988.0518459726,482572.8771202236,16
pangyo,20,567822.1372385668,275104.91880406043,656850.8993113211,24
pangyo,25,1008305.6824123377,489852.9049012947,1140421.468947453,47
pangyo,30,1424895.7704704585,692380.6574303352,1510528.302438287,79
pangyo,35,2169273.266093064,1052087.4119030447,1942117.957822451,117
pangyo,40,3097758.032422373,1504373.9343721024,2619304.85496371,162
pangyo,45,4212299.497123592,2047778.9265070364,3654363.5558806155,234
pangyo,50,5811900.316593209,2825815.9943012754,4469085.106195659,328
pangyo,55,6951500.015472705,3370802.3186935633,5073921.866208948,385
pangyo,60,8405399.40775546,4074077.1791652404,5531047.330119453,443
cheongna,0,380.4881897527136,216.63066231187616,1413.7643361671846,1
cheongna,5,13051.308449168626,6674.826670730694,5409.494524854806,2
cheongna,10,13782.303637393548,7086.942251496375,5549.121178585494,3
cheongna,15,43661.967492080345,22051.411820520247,13810.579108577427,7
cheongna,20,154348.4381433567,77253.34450398592,51841.235049129755,17
cheongna,25,374831.5996156156,186447.93051425368,155226.76249051827,29
cheongna,30,622715.7843873994,309066.72674918344,268368.6142880088,47
cheongna,35,1075325.8847701806,527512.4941979313,467199.61662178376,62
cheongna,40,1805797.2606000484,881266.9364013803,812838.3681734384,85
cheongna,45,2643000.9836442927,1288712.0812571398,1254480.056441463,127
cheongna,50,4131961.8136044173,2005020.3559101287,1987310.0573364026,191
cheongna,55,4803469.850504305,2334004.1018304015,2647213.4135137065,242
cheongna,60,5596149.389223353,2718089.6707135076,3371925.2822791273,296
